group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2 (for),,,,,975900.0,ns,5010
day1 - part2 (for),,,,,1968000.0,ns,10020
day1 - part2 (for),,,,,2954800.0,ns,15030
day1 - part2 (for),,,,,3982300.0,ns,20040
day1 - part2 (for),,,,,4911100.0,ns,25050
day1 - part2 (for),,,,,5862100.0,ns,30060
day1 - part2 (for),,,,,6861200.0,ns,35070
day1 - part2 (for),,,,,7863100.0,ns,40080
day1 - part2 (for),,,,,8888800.0,ns,45090
day1 - part2 (for),,,,,9851800.0,ns,50100
day1 - part2 (for),,,,,10895800.0,ns,55110
day1 - part2 (for),,,,,11947000.0,ns,60120
day1 - part2 (for),,,,,12833900.0,ns,65130
day1 - part2 (for),,,,,13842400.0,ns,70140
day1 - part2 (for),,,,,14896500.0,ns,75150
day1 - part2 (for),,,,,15776800.0,ns,80160
day1 - part2 (for),,,,,16716800.0,ns,85170
day1 - part2 (for),,,,,17626800.0,ns,90180
day1 - part2 (for),,,,,18778100.0,ns,95190
day1 - part2 (for),,,,,19880500.0,ns,100200
day1 - part2 (for),,,,,20724600.0,ns,105210
day1 - part2 (for),,,,,21721200.0,ns,110220
day1 - part2 (for),,,,,22809300.0,ns,115230
day1 - part2 (for),,,,,23714700.0,ns,120240
day1 - part2 (for),,,,,24592300.0,ns,125250
day1 - part2 (for),,,,,25714100.0,ns,130260
day1 - part2 (for),,,,,26729800.0,ns,135270
day1 - part2 (for),,,,,27711400.0,ns,140280
day1 - part2 (for),,,,,28848800.0,ns,145290
day1 - part2 (for),,,,,29809600.0,ns,150300
day1 - part2 (for),,,,,30679500.0,ns,155310
day1 - part2 (for),,,,,31867700.0,ns,160320
day1 - part2 (for),,,,,32613700.0,ns,165330
day1 - part2 (for),,,,,34115600.0,ns,170340
day1 - part2 (for),,,,,34801600.0,ns,175350
day1 - part2 (for),,,,,35665500.0,ns,180360
day1 - part2 (for),,,,,36682900.0,ns,185370
day1 - part2 (for),,,,,37684200.0,ns,190380
day1 - part2 (for),,,,,38397300.0,ns,195390
day1 - part2 (for),,,,,39420800.0,ns,200400
day1 - part2 (for),,,,,40579200.0,ns,205410
day1 - part2 (for),,,,,41812500.0,ns,210420
day1 - part2 (for),,,,,42564800.0,ns,215430
day1 - part2 (for),,,,,43484200.0,ns,220440
day1 - part2 (for),,,,,44696000.0,ns,225450
day1 - part2 (for),,,,,45514200.0,ns,230460
day1 - part2 (for),,,,,46526500.0,ns,235470
day1 - part2 (for),,,,,47430400.0,ns,240480
day1 - part2 (for),,,,,48418600.0,ns,245490
day1 - part2 (for),,,,,49448600.0,ns,250500
day1 - part2 (for),,,,,50426200.0,ns,255510
day1 - part2 (for),,,,,51482500.0,ns,260520
day1 - part2 (for),,,,,52444000.0,ns,265530
day1 - part2 (for),,,,,53436300.0,ns,270540
day1 - part2 (for),,,,,54209300.0,ns,275550
day1 - part2 (for),,,,,55059300.0,ns,280560
day1 - part2 (for),,,,,56086100.0,ns,285570
day1 - part2 (for),,,,,57505100.0,ns,290580
day1 - part2 (for),,,,,58069200.0,ns,295590
day1 - part2 (for),,,,,59050000.0,ns,300600
day1 - part2 (for),,,,,59976700.0,ns,305610
day1 - part2 (for),,,,,61094600.0,ns,310620
day1 - part2 (for),,,,,62224300.0,ns,315630
day1 - part2 (for),,,,,63459200.0,ns,320640
day1 - part2 (for),,,,,65164300.0,ns,325650
day1 - part2 (for),,,,,66615200.0,ns,330660
day1 - part2 (for),,,,,67257300.0,ns,335670
day1 - part2 (for),,,,,68200200.0,ns,340680
day1 - part2 (for),,,,,68752500.0,ns,345690
day1 - part2 (for),,,,,69639700.0,ns,350700
day1 - part2 (for),,,,,70624600.0,ns,355710
day1 - part2 (for),,,,,71727100.0,ns,360720
day1 - part2 (for),,,,,72402700.0,ns,365730
day1 - part2 (for),,,,,73909700.0,ns,370740
day1 - part2 (for),,,,,74238800.0,ns,375750
day1 - part2 (for),,,,,75058700.0,ns,380760
day1 - part2 (for),,,,,76537000.0,ns,385770
day1 - part2 (for),,,,,77043500.0,ns,390780
day1 - part2 (for),,,,,77981500.0,ns,395790
day1 - part2 (for),,,,,78633300.0,ns,400800
day1 - part2 (for),,,,,79735200.0,ns,405810
day1 - part2 (for),,,,,81081400.0,ns,410820
day1 - part2 (for),,,,,82300600.0,ns,415830
day1 - part2 (for),,,,,83647500.0,ns,420840
day1 - part2 (for),,,,,83935500.0,ns,425850
day1 - part2 (for),,,,,85277600.0,ns,430860
day1 - part2 (for),,,,,85741400.0,ns,435870
day1 - part2 (for),,,,,86481000.0,ns,440880
day1 - part2 (for),,,,,87727400.0,ns,445890
day1 - part2 (for),,,,,88603100.0,ns,450900
day1 - part2 (for),,,,,89621000.0,ns,455910
day1 - part2 (for),,,,,90281600.0,ns,460920
day1 - part2 (for),,,,,91506700.0,ns,465930
day1 - part2 (for),,,,,92526600.0,ns,470940
day1 - part2 (for),,,,,93755000.0,ns,475950
day1 - part2 (for),,,,,94585500.0,ns,480960
day1 - part2 (for),,,,,95843200.0,ns,485970
day1 - part2 (for),,,,,97209900.0,ns,490980
day1 - part2 (for),,,,,97459500.0,ns,495990
day1 - part2 (for),,,,,98668800.0,ns,501000
